servingCellID,ServingCellRSRP,Nbr1CellID,Nbr1RSRP,Nbr2CellID,Nbr2RSRP,ServCellRSRQ
722,5,54,6,53,2,43,27
723,5,46,2,47,6,36,25
724,2,51,5,46,3,42,29
725,6,47,8,41,5,40,27
726,8,45,9,47,5,45,19
727,5,47,6,44,4,37,28
728,5,56,6,46,8,40,32
729,5,52,6,57,2,44,20
730,5,47,2,45,6,37,28
731,2,48,5,47,3,39,28
732,6,58,5,50,2,45,31
733,2,53,5,42,1,38,32
734,6,40,5,39,8,39,20
735,8,45,9,46,5,46,20
736,5,44,6,42,8,35,26
737,8,48,5,46,7,36,28
738,5,58,4,46,7,44,32
739,5,45,2,43,6,40,26
740,2,45,5,50,3,39,20
741,6,56,5,48,2,46,31
742,8,52,9,44,5,38,31
743,2,50,5,39,1,39,31
744,6,38,9,40,5,38,18
745,5,49,2,44,3,38,30
746,5,53,9,46,8,45,30
747,5,36,6,38,8,37,19
748,8,46,5,49,9,36,23
749,5,56,7,45,4,44,32
750,5,44,2,44,6,41,24
751,5,51,6,42,2,37,31
752,6,53,5,47,2,44,31
753,8,49,9,45,5,37,29
754,2,47,1,42,5,40,28
755,6,44,8,44,9,41,23
756,5,48,8,46,9,37,28
757,5,48,2,46,3,40,28
758,5,59,6,48,3,43,32
759,5,55,8,45,9,43,31
760,5,36,8,38,6,38,18
761,5,52,7,46,4,41,30
762,5,45,2,48,6,41,21
763,5,60,6,51,4,44,32
764,5,50,6,40,2,37,31
765,6,54,5,44,2,41,32
766,8,44,9,44,4,36,25
767,2,48,1,42,3,41,29
768,6,46,8,47,9,42,23
769,5,55,6,43,2,40,32
770,5,46,8,47,9,34,26
771,5,51,2,46,3,42,29
772,5,54,6,45,3,41,32
773,5,53,9,42,8,42,31
774,2,47,5,44,6,39,28
775,8,41,5,39,6,37,26
776,8,54,6,39,7,39,32
777,5,50,7,47,9,40,28
778,5,59,4,46,6,43,32
779,5,53,6,39,2,38,32
780,6,53,5,43,2,39,32
781,8,44,9,41,4,37,28
782,2,49,5,42,1,39,29
783,6,44,8,48,5,47,17
784,5,54,6,45,2,40,32
785,8,45,5,43,9,38,27
786,2,51,3,39,6,39,32
787,5,49,2,46,3,43,29
788,5,50,9,44,8,42,30
789,2,49,6,43,5,39,30
790,8,37,5,40,6,38,19
791,8,52,7,42,6,37,32
792,5,49,7,43,9,38,30
793,5,57,4,45,6,42,33
794,5,54,6,42,2,40,32
795,6,50,5,41,2,40,31
796,8,44,9,39,5,36,29
797,5,52,6,47,9,40,29
798,2,55,5,41,1,40,32
799,5,50,6,44,2,38,31
800,5,52,6,41,8,41,31
801,8,43,5,43,9,39,25
802,2,51,6,42,3,38,31
803,5,48,2,49,3,42,25
804,5,45,9,47,8,42,23
805,2,49,6,42,5,40,30
806,8,36,5,42,6,39,14
807,8,50,7,39,9,38,32
808,8,36,5,43,6,40,12
809,5,49,7,38,9,35,31
810,5,50,4,46,6,38,29
811,5,44,6,39,2,38,28
812,5,54,6,46,2,40,31
813,6,48,5,41,2,39,30
814,8,42,9,40,5,40,25
815,5,46,6,49,9,38,22
816,2,52,1,40,5,38,32
817,5,51,6,45,2,38,31
818,5,50,6,43,8,43,30
819,8,41,5,45,9,39,20
820,2,49,6,43,3,34,31
821,5,57,6,46,2,45,32
822,5,48,9,44,8,37,29
823,2,52,3,44,5,44,31
824,2,45,5,45,1,44,23
825,8,46,9,41,6,36,29
826,5,44,8,41,9,40,26
827,5,49,9,36,8,35,32
828,5,44,4,46,6,42,21
829,5,45,2,40,6,39,28
830,5,53,6,45,2,39,31
831,6,47,2,37,5,37,31
832,8,41,5,41,9,40,23
833,2,46,1,40,5,36,30
834,5,50,6,43,9,38,31
835,2,54,5,40,1,39,32
836,6,46,9,43,5,42,26
837,5,50,6,42,8,40,30
838,2,49,6,42,5,37,31
839,5,52,2,48,6,47,28
840,5,50,9,42,6,40,31
841,2,53,3,46,5,44,31
842,2,45,5,50,1,44,18
843,8,46,9,39,6,34,30
844,5,52,9,42,2,38,31
845,5,42,8,43,9,39,23
846,5,48,9,38,8,35,31
847,5,43,6,44,4,42,22
848,5,44,6,42,2,40,26
849,5,51,6,42,7,37,31
850,5,52,2,44,1,41,30
851,6,49,5,40,2,34,32
852,8,45,5,42,9,39,27
853,2,48,1,41,3,38,30
